Feature,Score/Rank,Score/Rank_x,Score/Rank_x,Score/Rank_x,Score/Rank_x,MeanWeight,RankedPosition
aVF_mean,1,182.3224122176381,0.0280512967399217,0.0016410175681055,5.540504598276738,44.26884920711126,124
III_mean,3,181.52514464003656,0.0155277088558232,0.0017856379782324,4.396445037991754,43.92680071173232,125
II_min,5,90.75884136571914,0.0134687383801415,0.0024393970881446,93.46779692747693,43.64530504203867,126
V1_energy,2,108.1162996910786,0.0210380566747521,0.0036315327068569,75.32811124152049,43.28684247576016,127
V5_mean,2,176.6597156653787,0.0210292359711437,0.0028011140910561,6.195658620407245,43.14804814961133,128
V1_rms,2,103.01828074725216,0.0208644254218235,0.0028527548484131,77.62725171231519,42.62805873878532,129
V1_std,2,93.67285129169905,0.011973890693713,0.0029128160371395,68.77634390166764,38.34448985884648,130
V2_q75,4,72.59854965785624,0.0081012209521318,0.0022234481216378,87.51569118337177,37.911662473012186,131
V2_range,6,53.1656272822118,0.0097355993731051,0.0018373388698998,101.64291357015723,36.7812032448499,132
I_energy,2,99.54865160973384,0.0096220672844489,0.0021397744040053,53.44743805956644,36.119494473173816,133
V2_kurtosis,4,0.180535982295481,0.0175858716051151,0.0027753015165866,152.00406234868805,36.048225765671816,134
III_range,2,53.25944636539762,0.021550934576435,0.0020816604593598,87.15246918288047,33.161305445485624,135
V5_max,5,82.54070127673357,0.0108197905295168,0.0022920748733439,51.318544616052115,31.793495943103185,136
I_min,4,67.4702834162176,0.0200275712707302,0.0019782127563889,59.86121178102477,30.200823760298697,137
aVF_skew,6,15.67358522146854,0.0241474895955078,0.0028995452154484,110.91763374231364,30.145474352610147,138
I_std,4,87.49887673046949,0.0105573328642649,0.0016384987895115,33.00325070844468,28.591605475427755,139
I_rms,3,90.28522723390664,0.0095434517478087,0.0020186475241585,25.794517568286764,27.4920722121095,140
V2_max,4,106.05639414154236,0.0214247050417077,0.0028391079927944,6.90380780244395,26.819874295769598,141
aVR_range,5,78.19871057189388,0.0145050388225071,0.0029174462706161,32.28476807478458,26.2943296780639,142
II_q75,4,86.56588556604756,0.0192579428912833,0.0174540423265065,11.281881615106895,23.266936274440525,143
aVF_q75,4,37.818064995878174,0.0208048878587754,0.0033243488889762,57.8347674331111,22.747520391938128,144
III_min,6,47.62054413636739,0.0028724934179418,0.0016869646766585,46.97150952038599,22.61096779172894,145
I_max,4,5.010580335539197,0.0059795166841416,0.0031135194526925,84.23807180014587,21.23711651101692,146
aVL_skew,4,18.157665333790614,0.0241454633657125,0.0019167339586429,68.72554477250968,20.684534659676384,147
aVR_max,6,49.685631014663514,0.0087999913791967,0.0022635912083699,34.974761486393035,20.275636725563317,148
V1_min,4,32.319955315860774,0.0175333254568479,0.0035900200891548,41.150482687993865,17.527426199858976,149
aVF_range,4,29.366550117236255,0.0155233971364274,0.0021933354317124,43.91401513162096,17.48194870151185,150
